;batch_number;user_id;n_friends;batch_start_time;batch_end_time;batch_duratin;average_batch_duration;batch_start_fmt;batch_end_fmt;direction;missed_elements
176;1;127813;242;;;;;;;;
177;1;128078;87;;;;;;;;
178;1;129721;121;;;;;;;;
179;1;129757;177;;;;;;;;
180;1;130335;213;;;;;;;;
181;1;130629;115;;;;;;;;
182;1;127918;558;;;;;;;;
183;1;131845;55;;;;;;;;
184;1;131968;0;;;;;;;;
185;1;131311;206;;;;;;;;
186;1;131820;241;;;;;;;;
187;1;133667;0;;;;;;;;
188;1;133393;136;;;;;;;;
189;1;132509;202;;;;;;;;
190;1;132644;273;;;;;;;;
191;1;135605;109;;;;;;;;
192;1;137136;0;;;;;;;;
193;1;137589;0;;;;;;;;
194;1;135811;129;;;;;;;;
195;1;138036;0;;;;;;;;
196;1;138833;0;;;;;;;;
197;1;138588;299;;;;;;;;
198;1;139136;270;;;;;;;;
199;1;138102;519;;;;;;;;
200;2;141230;0;1603964872.4669776;1603964886.8021095;14.335132360458374;25.212153593699146;2020-10-29 @ 15:47:52;2020-10-29 @ 15:48:06;;
201;2;141127;0;;;;;;;;
202;2;142088;0;;;;;;;;
203;2;143347;0;;;;;;;;
204;2;144048;0;;;;;;;;
205;2;144181;0;;;;;;;;
206;2;144147;0;;;;;;;;
207;2;144733;0;;;;;;;;
208;2;145122;0;;;;;;;;
209;2;145394;0;;;;;;;;
210;2;146233;0;;;;;;;;
211;2;146508;0;;;;;;;;
212;2;146578;0;;;;;;;;
213;2;147966;0;;;;;;;;
214;2;147995;0;;;;;;;;
215;2;148164;0;;;;;;;;
216;2;148278;0;;;;;;;;
217;2;148629;0;;;;;;;;
218;2;148288;0;;;;;;;;
219;2;148753;0;;;;;;;;
220;2;149011;0;;;;;;;;
221;2;149165;0;;;;;;;;
222;2;149071;0;;;;;;;;
223;2;150110;0;;;;;;;;
224;2;150572;0;;;;;;;;
225;2;152150;0;;;;;;;;
226;2;154778;0;;;;;;;;
227;2;155321;0;;;;;;;;
228;2;155684;0;;;;;;;;
229;2;156060;0;;;;;;;;
230;2;156078;0;;;;;;;;
231;2;157405;0;;;;;;;;
232;2;157617;0;;;;;;;;
233;2;158163;0;;;;;;;;
234;2;158201;0;;;;;;;;
235;2;158209;0;;;;;;;;
236;2;158591;0;;;;;;;;
237;2;158853;0;;;;;;;;
238;2;159170;0;;;;;;;;
239;2;160037;0;;;;;;;;
240;2;160351;0;;;;;;;;
241;2;161013;0;;;;;;;;
242;2;161687;0;;;;;;;;
243;2;162054;0;;;;;;;;
244;2;162123;0;;;;;;;;
245;2;163102;0;;;;;;;;
246;2;164356;0;;;;;;;;
247;2;164423;0;;;;;;;;
248;2;165560;0;;;;;;;;
249;2;165883;0;;;;;;;;
250;2;166485;0;;;;;;;;
251;2;166531;0;;;;;;;;
252;2;168202;0;;;;;;;;
253;2;168282;0;;;;;;;;
254;2;168318;0;;;;;;;;
255;2;169060;0;;;;;;;;
256;2;169446;0;;;;;;;;
257;2;170414;0;;;;;;;;
258;2;170910;0;;;;;;;;
259;2;171790;0;;;;;;;;
260;2;172158;0;;;;;;;;
261;2;172495;0;;;;;;;;
262;2;172916;0;;;;;;;;
263;2;172961;0;;;;;;;;
264;2;173614;0;;;;;;;;
265;2;173646;0;;;;;;;;
266;2;173820;0;;;;;;;;
267;2;174055;0;;;;;;;;
268;2;174516;0;;;;;;;;
269;2;174863;0;;;;;;;;
270;2;175246;0;;;;;;;;
271;2;176213;0;;;;;;;;
272;2;178222;0;;;;;;;;
273;2;177266;0;;;;;;;;
274;2;178312;0;;;;;;;;
275;2;178977;0;;;;;;;;
276;2;180352;0;;;;;;;;
277;2;180634;0;;;;;;;;
278;2;180859;0;;;;;;;;
279;2;180949;0;;;;;;;;
280;2;181046;0;;;;;;;;
281;2;181363;0;;;;;;;;
282;2;181459;0;;;;;;;;
283;2;181773;0;;;;;;;;
284;2;182263;0;;;;;;;;
285;2;183320;0;;;;;;;;
286;2;183654;0;;;;;;;;
287;2;184077;0;;;;;;;;
288;2;184303;0;;;;;;;;
289;2;184459;0;;;;;;;;
290;2;184924;0;;;;;;;;
291;2;185129;0;;;;;;;;
292;2;185777;0;;;;;;;;
293;2;186627;0;;;;;;;;
294;2;186763;0;;;;;;;;
295;2;187050;0;;;;;;;;
296;2;188340;0;;;;;;;;
297;2;188508;0;;;;;;;;
298;2;188606;0;;;;;;;;
299;2;189046;0;;;;;;;;
300;3;189214;0;1603964886.8761618;1603964901.1332386;14.257076501846313;22.47338432073593;2020-10-29 @ 15:48:06;2020-10-29 @ 15:48:21;;
301;3;189357;0;;;;;;;;
302;3;189301;0;;;;;;;;
303;3;189393;0;;;;;;;;
304;3;189527;0;;;;;;;;
305;3;189826;0;;;;;;;;
306;3;189803;0;;;;;;;;
307;3;189854;0;;;;;;;;
308;3;190402;0;;;;;;;;
309;3;191423;0;;;;;;;;
310;3;192332;0;;;;;;;;
311;3;192406;0;;;;;;;;
312;3;192523;0;;;;;;;;
313;3;192524;0;;;;;;;;
314;3;193871;0;;;;;;;;
315;3;194158;0;;;;;;;;
316;3;194188;0;;;;;;;;
317;3;194265;0;;;;;;;;
318;3;195010;0;;;;;;;;
319;3;195272;0;;;;;;;;
320;3;196007;0;;;;;;;;
321;3;196423;0;;;;;;;;
322;3;196717;0;;;;;;;;
323;3;196972;0;;;;;;;;
324;3;197200;0;;;;;;;;
325;3;198143;0;;;;;;;;
326;3;198334;0;;;;;;;;
327;3;198969;0;;;;;;;;
328;3;199342;0;;;;;;;;
329;3;199517;0;;;;;;;;
330;3;200226;0;;;;;;;;
331;3;200459;0;;;;;;;;
332;3;200591;0;;;;;;;;
333;3;200898;0;;;;;;;;
334;3;202426;0;;;;;;;;
335;3;202653;0;;;;;;;;
336;3;202696;0;;;;;;;;
337;3;203183;0;;;;;;;;
338;3;203205;0;;;;;;;;
339;3;203298;0;;;;;;;;
340;3;204025;0;;;;;;;;
341;3;204156;0;;;;;;;;
342;3;204517;0;;;;;;;;
343;3;204847;0;;;;;;;;
344;3;205622;0;;;;;;;;
345;3;205068;0;;;;;;;;
346;3;205779;0;;;;;;;;
347;3;205901;0;;;;;;;;
348;3;205934;0;;;;;;;;
349;3;205981;0;;;;;;;;
350;3;205992;0;;;;;;;;
351;3;206051;0;;;;;;;;
352;3;206245;0;;;;;;;;
353;3;206602;0;;;;;;;;
354;3;206621;0;;;;;;;;
355;3;206949;0;;;;;;;;
356;3;207976;0;;;;;;;;
357;3;208656;0;;;;;;;;
358;3;208784;0;;;;;;;;
359;3;209557;0;;;;;;;;
360;3;209718;0;;;;;;;;
361;3;210212;0;;;;;;;;
362;3;210888;0;;;;;;;;
363;3;211234;0;;;;;;;;
364;3;211591;0;;;;;;;;
365;3;211706;0;;;;;;;;
366;3;213139;0;;;;;;;;
367;3;213157;0;;;;;;;;
368;3;213273;0;;;;;;;;
369;3;213310;0;;;;;;;;
370;3;213475;0;;;;;;;;
371;3;214032;0;;;;;;;;
372;3;215076;0;;;;;;;;
373;3;215774;0;;;;;;;;
374;3;215320;0;;;;;;;;
375;3;215798;0;;;;;;;;
376;3;215959;0;;;;;;;;
377;3;216113;0;;;;;;;;
378;3;216844;0;;;;;;;;
379;3;216911;0;;;;;;;;
380;3;217260;0;;;;;;;;
381;3;217286;0;;;;;;;;
382;3;218106;0;;;;;;;;
383;3;218576;0;;;;;;;;
384;3;219083;0;;;;;;;;
385;3;219092;0;;;;;;;;
386;3;219514;0;;;;;;;;
387;3;219612;0;;;;;;;;
388;3;219782;0;;;;;;;;
389;3;219829;0;;;;;;;;
390;3;220904;0;;;;;;;;
391;3;220969;0;;;;;;;;
392;3;221040;0;;;;;;;;
393;3;222083;0;;;;;;;;
394;3;222612;0;;;;;;;;
395;3;221450;0;;;;;;;;
396;3;222831;0;;;;;;;;
397;3;222839;0;;;;;;;;
398;3;223005;0;;;;;;;;
399;3;223028;0;;;;;;;;
400;4;224435;0;1603964901.218299;1603964915.770585;14.552286386489868;20.88916473388672;2020-10-29 @ 15:48:21;2020-10-29 @ 15:48:35;;
401;4;224454;0;;;;;;;;
402;4;224608;0;;;;;;;;
403;4;224877;0;;;;;;;;
404;4;225074;0;;;;;;;;
405;4;225252;0;;;;;;;;
406;4;226110;0;;;;;;;;
407;4;226126;0;;;;;;;;
408;4;226726;0;;;;;;;;
409;4;226882;0;;;;;;;;
410;4;226887;0;;;;;;;;
411;4;227007;0;;;;;;;;
412;4;228157;0;;;;;;;;
413;4;228615;0;;;;;;;;
414;4;228917;0;;;;;;;;
415;4;229260;0;;;;;;;;
416;4;230230;0;;;;;;;;
417;4;230855;0;;;;;;;;
418;4;231542;0;;;;;;;;
419;4;231748;0;;;;;;;;
420;4;232090;0;;;;;;;;
421;4;232670;0;;;;;;;;
422;4;233004;0;;;;;;;;
423;4;235172;0;;;;;;;;
424;4;235690;0;;;;;;;;
425;4;235823;0;;;;;;;;
426;4;236072;0;;;;;;;;
427;4;237401;0;;;;;;;;
428;4;237412;0;;;;;;;;
429;4;237433;0;;;;;;;;
430;4;237547;0;;;;;;;;
431;4;237565;0;;;;;;;;
432;4;237726;0;;;;;;;;
433;4;238590;0;;;;;;;;
434;4;238774;0;;;;;;;;
435;4;238869;0;;;;;;;;
436;4;239550;0;;;;;;;;
437;4;239561;0;;;;;;;;
438;4;239884;0;;;;;;;;
439;4;239952;0;;;;;;;;
440;4;241702;0;;;;;;;;
441;4;241945;0;;;;;;;;
442;4;240348;0;;;;;;;;
443;4;242406;0;;;;;;;;
444;4;243000;0;;;;;;;;
445;4;243543;0;;;;;;;;
446;4;244367;0;;;;;;;;
447;4;244770;0;;;;;;;;
448;4;244798;0;;;;;;;;
449;4;245391;0;;;;;;;;
450;4;245537;0;;;;;;;;
451;4;245719;0;;;;;;;;
452;4;246101;0;;;;;;;;
453;4;246200;0;;;;;;;;
454;4;246911;0;;;;;;;;
455;4;247111;0;;;;;;;;
456;4;247149;0;;;;;;;;
457;4;247540;0;;;;;;;;
458;4;248075;0;;;;;;;;
459;4;248183;0;;;;;;;;
460;4;248916;0;;;;;;;;
461;4;249181;0;;;;;;;;
462;4;249231;0;;;;;;;;
463;4;249246;0;;;;;;;;
464;4;249658;0;;;;;;;;
465;4;250741;0;;;;;;;;
466;4;250905;0;;;;;;;;
467;4;251073;0;;;;;;;;
468;4;251194;0;;;;;;;;
469;4;251416;0;;;;;;;;
470;4;252222;0;;;;;;;;
471;4;253649;0;;;;;;;;
472;4;253669;0;;;;;;;;
473;4;254435;0;;;;;;;;
474;4;254782;0;;;;;;;;
475;4;256306;0;;;;;;;;
476;4;257974;0;;;;;;;;
477;4;259251;0;;;;;;;;
478;4;259832;0;;;;;;;;
479;4;260465;0;;;;;;;;
480;4;260592;0;;;;;;;;
481;4;260766;0;;;;;;;;
482;4;261110;0;;;;;;;;
483;4;261196;0;;;;;;;;
484;4;261651;0;;;;;;;;
485;4;262322;0;;;;;;;;
486;4;262551;0;;;;;;;;
487;4;263000;0;;;;;;;;
488;4;263043;0;;;;;;;;
489;4;263336;0;;;;;;;;
490;4;264425;0;;;;;;;;
491;4;264918;0;;;;;;;;
492;4;265537;0;;;;;;;;
493;4;265670;0;;;;;;;;
494;4;266235;0;;;;;;;;
495;4;266291;0;;;;;;;;
496;4;266354;0;;;;;;;;
497;4;266417;0;;;;;;;;
498;4;267186;0;;;;;;;;
499;4;267984;0;;;;;;;;
500;5;268320;0;1603964915.8596494;1603964930.3809128;14.521263360977173;19.8278478384018;2020-10-29 @ 15:48:35;2020-10-29 @ 15:48:50;;
501;5;268817;0;;;;;;;;
502;5;268401;0;;;;;;;;
503;5;269224;0;;;;;;;;
504;5;270273;0;;;;;;;;
505;5;270863;0;;;;;;;;
506;5;271018;0;;;;;;;;
507;5;271051;0;;;;;;;;
508;5;271600;0;;;;;;;;
509;5;271949;0;;;;;;;;
510;5;272133;0;;;;;;;;
511;5;274032;0;;;;;;;;
512;5;274573;0;;;;;;;;
513;5;274655;0;;;;;;;;
514;5;274749;0;;;;;;;;
515;5;275171;0;;;;;;;;
516;5;275258;0;;;;;;;;
517;5;275412;0;;;;;;;;
518;5;275654;0;;;;;;;;
519;5;275743;0;;;;;;;;
520;5;276504;0;;;;;;;;
521;5;276558;0;;;;;;;;
522;5;277127;0;;;;;;;;
523;5;277664;0;;;;;;;;
524;5;279363;0;;;;;;;;
525;5;280680;0;;;;;;;;
526;5;279812;0;;;;;;;;
527;5;281675;0;;;;;;;;
528;5;281715;0;;;;;;;;
529;5;281716;0;;;;;;;;
530;5;282093;0;;;;;;;;
531;5;282843;0;;;;;;;;
532;5;283429;0;;;;;;;;
533;5;284166;0;;;;;;;;
534;5;284259;0;;;;;;;;
535;5;284882;0;;;;;;;;
536;5;284928;0;;;;;;;;
537;5;285172;0;;;;;;;;
